摄像头编号  摄像日期    摄像时间    笼号  变化点数    帧数  视频时间长度
ch02 20180116 153216 2-1 31922 33890 1414.666667
ch02 20180116 153216 2-2 30034 33890 1414.666667
ch02 20180116 155548 1-1 42892 33890 1414.625000
ch02 20180116 155548 1-2 53206 33890 1414.625000
ch02 20180116 155548 2-1 68122 33890 1414.625000
ch02 20180116 155548 2-2 87909 33890 1414.625000
ch02 20180116 161920 1-1 32087 33890 1414.625000
ch02 20180116 161920 1-2 49042 33890 1414.625000
ch02 20180116 161920 2-1 54647 33890 1414.625000
ch02 20180116 161920 2-2 50457 33890 1414.625000
ch02 20180116 164253 1-1 53246 33891 1414.666667
ch02 20180116 164253 1-2 63932 33891 1414.666667
ch02 20180116 164253 2-1 67588 33891 1414.666667
ch02 20180116 164253 2-2 75113 33891 1414.666667
ch02 20180116 175340 2-2 95892 33891 1414.666667
ch02 20180116 184042 1-1 56420 33890 1414.666667
ch02 20180116 184042 1-2 76346 33890 1414.666667
ch02 20180116 190414 1-1 70420 33892 1415.208333
ch02 20180116 190414 1-2 96576 33892 1415.208333
ch02 20180116 192746 1-1 68866 33890 1415.208333
ch02 20180116 192746 1-2 100418 33890 1415.208333
ch02 20180116 195118 1-1 97681 33890 1415.208333
ch02 20180116 195118 1-2 110654 33890 1415.208333
ch02 20180116 201451 1-1 73860 33891 1415.208333
ch02 20180116 201451 1-2 88089 33891 1415.208333
ch02 20180116 203822 1-1 72273 33890 1412.083333
ch02 20180116 203822 1-2 102903 33890 1412.083333
ch02 20180116 210154 1-1 77066 33890 1412.083333
ch02 20180116 210154 1-2 85405 33890 1412.083333
ch02 20180116 212526 1-1 65203 33890 1412.083333
ch02 20180116 212526 1-2 89191 33890 1412.083333
ch02 20180116 214859 1-1 79858 33890 1412.083333
ch02 20180116 214859 1-2 84907 33890 1412.083333
ch02 20180116 221230 1-1 178533 33890 1412.083333
ch02 20180116 221230 1-2 170737 33890 1412.083333
ch02 20180116 223602 1-1 195886 33890 1412.083333
ch02 20180116 223602 1-2 194472 33890 1412.083333
ch02 20180116 225935 1-1 211802 33890 1412.083333
ch02 20180116 225935 1-2 159983 33890 1412.083333
ch02 20180116 232306 1-1 130295 33890 1412.083333
ch02 20180116 232306 1-2 165304 33890 1412.083333
ch02 20180116 234638 1-1 153309 19249 802.041667
ch02 20180116 234638 1-2 125037 19249 802.041667
ch02 20180117 020750 1-1 103618 33890 1412.083333
ch02 20180117 020750 1-2 112434 33890 1412.083333
ch02 20180117 023122 1-1 90566 33890 1412.083333
ch02 20180117 023122 1-2 109097 33890 1412.083333
ch02 20180117 025454 1-1 89484 33890 1412.083333
ch02 20180117 025454 1-2 110376 33890 1412.083333
ch02 20180117 031827 1-1 81536 21582 899.250000
ch02 20180117 031827 1-2 92387 21582 899.250000
ch02 20180117 034158 1-1 2769 1102 45.916667
ch02 20180117 034158 1-2 11037 1102 45.916667
ch02 20180117 040530 1-1 160 619 25.791667
ch02 20180117 040530 1-2 2 619 25.791667
ch02 20180117 042902 1-1 0 478 19.916667
ch02 20180117 042902 1-2 0 478 19.916667
ch02 20180117 053939 1-2 195924 33890 1412.083333
ch02 20180117 060311 1-1 86825 33890 1412.083333
ch02 20180117 060311 1-2 111128 33890 1412.083333
ch02 20180117 062642 1-1 89339 33890 1412.083333
ch02 20180117 062642 1-2 112138 33890 1412.083333
ch02 20180117 065014 1-1 88129 33890 1412.083333
ch02 20180117 065014 1-2 113486 33890 1412.083333
ch02 20180117 071347 1-1 92587 33890 1412.083333
ch02 20180117 071347 1-2 121899 33890 1412.083333
ch02 20180117 073718 1-1 48297 33890 1412.083333
ch02 20180117 073718 1-2 71951 33890 1412.083333
ch02 20180117 080051 1-1 97232 33890 1412.083333
ch02 20180117 080051 1-2 131846 33890 1412.083333
ch02 20180117 082422 1-1 22701 33890 1412.083333
ch02 20180117 082422 1-2 49436 33890 1412.083333
ch02 20180117 084755 1-1 82643 33890 1412.083333
ch02 20180117 084755 1-2 117455 33890 1412.083333
ch02 20180117 091127 1-1 84944 33890 1412.083333
ch02 20180117 091127 1-2 94057 33890 1412.083333
ch02 20180117 104535 1-2 220207 33890 1412.083333
ch02 20180117 110907 1-1 220441 33890 1412.083333
ch02 20180117 110907 1-2 196579 33890 1412.083333
ch02 20180117 113239 1-1 247839 33890 1412.083333
ch02 20180117 113239 1-2 233588 33890 1412.083333
ch02 20180117 115610 1-1 98897 33890 1412.083333
ch02 20180117 115610 1-2 121536 33890 1412.083333
ch02 20180117 121942 1-1 107988 33890 1412.083333
ch02 20180117 121942 1-2 113897 33890 1412.083333
ch02 20180117 124315 1-1 120942 33890 1412.083333
ch02 20180117 124315 1-2 134156 33890 1412.083333
ch02 20180117 130647 1-1 101337 33890 1412.083333
ch02 20180117 130647 1-2 135813 33890 1412.083333
ch02 20180117 133019 1-1 124825 33890 1412.083333ch02 20180117 133019 1-2 137510 33890 1412.083333ch02 20180117 135351 1-1 113610 33890 1412.083333
ch02 20180117 135351 1-2 124562 33890 1412.083333ch02 20180118 000000 1-1 47565 8210 342.083333
ch02 20180118 000000 1-2 82012 8210 342.083333
ch02 20180118 000000 2-1 75259 8210 342.083333
ch02 20180118 000000 2-2 89156 8210 342.083333
ch02 20180118 000542 1-1 56979 33890 1412.083333
ch02 20180118 000542 1-2 104915 33890 1412.083333
ch02 20180118 000542 2-1 114708 33890 1412.083333
ch02 20180118 000542 2-2 124886 33890 1412.083333
ch02 20180118 002913 1-1 78918 33890 1412.083333
ch02 20180118 002913 1-2 144283 33890 1412.083333
ch02 20180118 002913 2-1 144984 33890 1412.083333
ch02 20180118 002913 2-2 157776 33890 1412.083333
ch02 20180118 005245 1-1 86136 33890 1412.083333
ch02 20180118 005245 1-2 129332 33890 1412.083333
ch02 20180118 005245 2-1 141552 33890 1412.083333
ch02 20180118 005245 2-2 101878 33890 1412.083333
ch02 20180118 011618 1-1 85898 33890 1412.083333
ch02 20180118 011618 1-2 143185 33890 1412.083333
ch02 20180118 011618 2-1 104485 33890 1412.083333
ch02 20180118 011618 2-2 126521 33890 1412.083333
ch02 20180118 013950 1-1 89077 33890 1412.083333
ch02 20180118 013950 1-2 145259 33890 1412.083333
ch02 20180118 013950 2-1 124099 33890 1412.083333
ch02 20180118 013950 2-2 145606 33890 1412.083333
ch02 20180118 020321 1-1 93857 33890 1412.083333
ch02 20180118 020321 1-2 121214 33890 1412.083333
ch02 20180118 020321 2-1 102169 33890 1412.083333
ch02 20180118 020321 2-2 115958 33890 1412.083333
ch02 20180118 022654 1-1 80014 33890 1412.083333
ch02 20180118 022654 1-2 107974 33890 1412.083333
ch02 20180118 022654 2-1 79542 33890 1412.083333
ch02 20180118 022654 2-2 83937 33890 1412.083333
ch02 20180118 025026 1-1 87757 33890 1412.083333
ch02 20180118 025026 1-2 134171 33890 1412.083333
ch02 20180118 025026 2-1 87918 33890 1412.083333
ch02 20180118 031358 1-1 76548 33890 1412.083333
ch02 20180118 031358 1-2 123972 33890 1412.083333
ch02 20180118 031358 2-1 94556 33890 1412.083333
ch02 20180118 031358 2-2 127680 33890 1412.083333
ch02 20180118 033730 1-1 117040 33890 1412.083333
ch02 20180118 033730 1-2 129241 33890 1412.083333
ch02 20180118 033730 2-1 141650 33890 1412.083333
ch02 20180118 033730 2-2 140512 33890 1412.083333
ch02 20180118 040102 1-1 78303 33890 1412.083333
ch02 20180118 040102 1-2 115892 33890 1412.083333
ch02 20180118 040102 2-1 112103 33890 1412.083333
ch02 20180118 040102 2-2 151500 33890 1412.083333
ch02 20180118 042433 1-1 80761 33890 1412.083333
ch02 20180118 042433 1-2 95402 33890 1412.083333
ch02 20180118 042433 2-1 100038 33890 1412.083333
ch02 20180118 042433 2-2 130383 33890 1412.083333
ch02 20180118 044806 1-1 77333 33890 1412.083333
ch02 20180118 044806 1-2 103501 33890 1412.083333
ch02 20180118 044806 2-1 107677 33890 1412.083333
ch02 20180118 044806 2-2 135249 33890 1412.083333
ch02 20180118 051138 1-1 75522 33890 1412.083333
ch02 20180118 051138 1-2 108119 33890 1412.083333
ch02 20180118 051138 2-1 83414 33890 1412.083333
ch02 20180118 051138 2-2 202711 33890 1412.083333
ch02 20180118 053509 1-1 70551 33890 1412.083333
ch02 20180118 053509 1-2 101125 33890 1412.083333
ch02 20180118 053509 2-1 142736 33890 1412.083333
ch02 20180118 053509 2-2 203331 33890 1412.083333
ch02 20180118 055842 1-1 77788 33890 1412.083333
ch02 20180118 055842 1-2 95906 33890 1412.083333
ch02 20180118 055842 2-1 176800 33890 1412.083333
ch02 20180118 055842 2-2 185623 33890 1412.083333
ch02 20180118 062214 1-1 75987 33890 1412.083333
ch02 20180118 062214 1-2 77236 33890 1412.083333
ch02 20180118 062214 2-1 140586 33890 1412.083333
ch02 20180118 062214 2-2 216896 33890 1412.083333
ch02 20180118 064546 1-1 65303 33890 1416.208333
ch02 20180118 064546 1-2 82380 33890 1416.208333
ch02 20180118 064546 2-1 144775 33890 1416.208333
ch02 20180118 064546 2-2 206250 33890 1416.208333
ch02 20180118 070918 1-1 69103 33891 1416.208333
ch02 20180118 070918 1-2 97624 33891 1416.208333
ch02 20180118 070918 2-1 150949 33891 1416.208333
ch02 20180118 070918 2-2 163250 33891 1416.208333
ch02 20180118 073250 1-1 75057 33890 1416.208333
ch02 20180118 073250 1-2 95521 33890 1416.208333
ch02 20180118 073250 2-1 211083 33890 1416.208333
ch02 20180118 073250 2-2 155367 33890 1416.208333
ch02 20180118 075622 1-1 35201 33890 1412.083333
ch02 20180118 075622 1-2 54190 33890 1412.083333
ch02 20180118 075622 2-1 69143 33890 1412.083333
ch02 20180118 075622 2-2 116860 33890 1412.083333
ch02 20180118 081954 1-1 65152 33890 1412.083333
ch02 20180118 081954 1-2 119141 33890 1412.083333
ch02 20180118 081954 2-1 141915 33890 1412.083333
ch02 20180118 081954 2-2 195799 33890 1412.083333
ch02 20180118 084326 1-1 86121 33890 1412.083333
ch02 20180118 084326 1-2 90296 33890 1412.083333
ch02 20180118 084326 2-1 163792 33890 1412.083333
ch02 20180118 084326 2-2 169302 33890 1412.083333
ch02 20180118 090658 1-1 49753 33890 1412.083333
ch02 20180118 090658 1-2 85204 33890 1412.083333
ch02 20180118 090658 2-1 111616 33890 1412.083333
ch02 20180118 090658 2-2 163712 33890 1412.083333
ch02 20180118 093030 1-1 51523 33890 1412.083333
ch02 20180118 093030 1-2 85447 33890 1412.083333
ch02 20180118 093030 2-1 117258 33890 1412.083333
ch02 20180118 093030 2-2 188117 33890 1412.083333
ch02 20180118 095402 1-1 79004 33890 1412.083333
ch02 20180118 095402 1-2 93934 33890 1412.083333
ch02 20180118 095402 2-1 128491 33890 1412.083333
ch02 20180118 095402 2-2 176989 33890 1412.083333
ch02 20180118 101734 1-1 91551 25844 1080.916667
ch02 20180118 101734 1-2 170029 25844 1080.916667
ch02 20180118 101734 2-1 137793 25844 1080.916667
ch02 20180118 101734 2-2 193055 25844 1080.916667
ch02 20180118 104106 1-1 11946 33890 1416.208333
ch02 20180118 104106 1-2 31047 33890 1416.208333
ch02 20180118 104106 2-1 18411 33890 1416.208333
ch02 20180118 104106 2-2 74076 33890 1416.208333
ch02 20180118 110438 1-1 53026 33891 1416.791667
ch02 20180118 110438 1-2 79396 33891 1416.791667
ch02 20180118 110438 2-1 118467 33891 1416.791667
ch02 20180118 110438 2-2 125934 33891 1416.791667
ch02 20180118 112810 1-1 48055 33890 1412.083333
ch02 20180118 112810 1-2 76104 33890 1412.083333
ch02 20180118 112810 2-1 69428 33890 1412.083333
ch02 20180118 112810 2-2 154496 33890 1412.083333
ch02 20180118 115142 1-1 60367 33890 1412.083333
ch02 20180118 115142 1-2 91274 33890 1412.083333
ch02 20180118 115142 2-1 126240 33890 1412.083333
ch02 20180118 115142 2-2 168277 33890 1412.083333
ch02 20180118 121514 1-1 156860 33890 1412.083333
ch02 20180118 121514 1-2 108264 33890 1412.083333
ch02 20180118 121514 2-1 175075 33890 1412.083333
ch02 20180118 121514 2-2 171611 33890 1412.083333
ch02 20180118 123846 1-1 239168 33890 1412.083333
ch02 20180118 123846 1-2 275448 33890 1412.083333
ch02 20180118 130218 1-1 380100 33890 1412.083333
ch02 20180118 130218 1-2 332578 33890 1412.083333
ch02 20180118 134922 2-2 169374 33890 1412.083333
ch02 20180118 141254 1-1 95171 33886 1411.916667
ch02 20180118 141254 1-2 111782 33886 1411.916667
ch02 20180118 141254 2-1 172517 33886 1411.916667
ch02 20180118 141254 2-2 187095 33886 1411.916667
ch02 20180118 143626 1-1 43742 33890 1412.083333
ch02 20180118 143626 1-2 58911 33890 1412.083333
ch02 20180118 143626 2-1 68634 33890 1412.083333
ch02 20180118 143626 2-2 135630 33890 1412.083333
ch02 20180118 145958 1-1 80269 33890 1412.083333
ch02 20180118 145958 1-2 96229 33890 1412.083333
ch02 20180118 145958 2-1 108978 33890 1412.083333
ch02 20180118 145958 2-2 157187 33890 1412.083333
ch02 20180118 152330 1-1 140166 33890 1412.083333
ch02 20180118 152330 1-2 314605 33890 1412.083333
ch02 20180118 154702 1-1 204120 33890 1412.083333
ch02 20180118 161034 1-1 230441 33842 1410.083333
ch02 20180118 161034 1-2 378661 33842 1410.083333
ch02 20180118 163404 1-1 239740 33842 1410.083333
ch02 20180118 163404 1-2 290750 33842 1410.083333
ch02 20180118 165735 1-1 86472 33890 1412.083333
ch02 20180118 165735 1-2 132202 33890 1412.083333
ch02 20180118 165735 2-1 117426 33890 1412.083333
ch02 20180118 165735 2-2 172850 33890 1412.083333
ch02 20180118 172106 1-1 66777 33890 1412.083333
ch02 20180118 172106 1-2 93432 33890 1412.083333
ch02 20180118 172106 2-1 83224 33890 1412.083333
ch02 20180118 174438 1-1 73437 33890 1412.083333
ch02 20180118 174438 1-2 95295 33890 1412.083333
ch02 20180118 174438 2-1 108609 33890 1412.083333
ch02 20180118 174438 2-2 131612 33890 1412.083333
ch02 20180118 180810 1-1 65748 33890 1412.083333
ch02 20180118 180810 1-2 97500 33890 1412.083333
ch02 20180118 180810 2-1 99129 33890 1412.083333
ch02 20180118 180810 2-2 129295 33890 1412.083333
ch02 20180118 183142 1-1 75884 33890 1412.083333
ch02 20180118 183142 1-2 97683 33890 1412.083333
ch02 20180118 183142 2-1 105017 33890 1412.083333
ch02 20180118 183142 2-2 128509 33890 1412.083333
ch02 20180118 185514 1-1 84285 33890 1412.083333
ch02 20180118 185514 1-2 93612 33890 1412.083333
ch02 20180118 185514 2-1 118136 33890 1412.083333
ch02 20180118 185514 2-2 153140 33890 1412.083333
ch02 20180118 191846 1-1 74230 33890 1412.083333
ch02 20180118 191846 1-2 101739 33890 1412.083333
ch02 20180118 191846 2-1 122550 33890 1412.083333
ch02 20180118 191846 2-2 136196 33890 1412.083333
ch02 20180118 194218 1-1 83632 33890 1412.083333
ch02 20180118 194218 1-2 102446 33890 1412.083333
ch02 20180118 194218 2-1 123955 33890 1412.083333
ch02 20180118 194218 2-2 142901 33890 1412.083333
ch02 20180118 200550 1-1 87906 33890 1412.083333
ch02 20180118 200550 1-2 106178 33890 1412.083333
ch02 20180118 200550 2-1 122519 33890 1412.083333
ch02 20180118 200550 2-2 131795 33890 1412.083333
ch02 20180118 202922 1-1 77190 33890 1412.083333
ch02 20180118 202922 1-2 107585 33890 1412.083333
ch02 20180118 202922 2-1 119727 33890 1412.083333
ch02 20180118 202922 2-2 150444 33890 1412.083333
ch02 20180118 205254 1-1 79517 33890 1412.083333
ch02 20180118 205254 1-2 101523 33890 1412.083333
ch02 20180118 205254 2-1 104815 33890 1412.083333
ch02 20180118 205254 2-2 132636 33890 1412.083333
ch02 20180118 213959 1-1 84684 33890 1412.083333
ch02 20180118 213959 1-2 125272 33890 1412.083333
ch02 20180118 213959 2-1 117354 33890 1412.083333
ch02 20180118 213959 2-2 139936 33890 1412.083333
ch02 20180118 220330 2-1 112056 33891 1416.833333
ch02 20180118 220330 2-2 136940 33891 1416.833333
ch02 20180118 222702 1-1 93504 33891 1416.833333
ch02 20180118 222702 1-2 116864 33891 1416.833333
ch02 20180118 222702 2-1 124451 33891 1416.833333
ch02 20180118 222702 2-2 131268 33891 1416.833333
ch02 20180118 225034 1-1 131268 33891 1416.833333
ch02 20180118 225034 1-2 131268 33891 1416.833333
ch02 20180118 225034 2-1 131268 33891 1416.833333
ch02 20180118 225034 2-2 131268 33891 1416.833333
ch02 20180118 231407 1-1 99322 33890 1412.083333
ch02 20180118 231407 1-2 122480 33890 1412.083333
ch02 20180118 231407 2-1 122554 33890 1412.083333
ch02 20180118 231407 2-2 125498 33890 1412.083333
ch02 20180118 233738 1-1 84147 32209 1342.041667
ch02 20180118 233738 1-2 108797 32209 1342.041667
ch02 20180118 233738 2-1 116004 32209 1342.041667
ch02 20180118 233738 2-2 107731 32209 1342.041667
ch02 20180119 114708 1-1 69383 33891 1417.375000
ch02 20180119 114708 1-2 97109 33890 1412.083333
ch02 20180119 114708 2-1 87365 33890 1412.083333
ch02 20180119 114708 2-2 67255 33890 1412.083333
ch02 20180119 121041 1-1 60753 33890 1412.083333
ch02 20180119 121041 1-2 119142 33890 1412.083333
ch02 20180119 121041 2-1 172919 33890 1412.083333
ch02 20180119 121041 2-2 148746 33890 1412.083333
ch02 20180119 123412 1-1 91357 33890 1412.083333
ch02 20180119 123412 1-2 133880 33890 1412.083333
ch02 20180119 123412 2-1 106286 33890 1412.083333
ch02 20180119 123412 2-2 178233 33890 1412.083333
ch02 20180119 125745 1-1 114928 33890 1412.083333
ch02 20180119 125745 1-2 107207 33890 1412.083333
ch02 20180119 125745 2-1 143294 33890 1412.083333
ch02 20180119 125745 2-2 239815 33890 1412.083333
ch02 20180119 132116 1-1 73991 33890 1412.083333
ch02 20180119 132116 1-2 133098 33890 1412.083333
ch02 20180119 132116 2-1 119936 33890 1412.083333
ch02 20180119 132116 2-2 185699 33890 1412.083333
ch02 20180119 134449 1-1 73623 33890 1412.083333
ch02 20180119 134449 1-2 101796 33890 1412.083333
ch02 20180119 134449 2-1 116323 33890 1412.083333
ch02 20180119 134449 2-2 151790 33890 1412.083333
ch02 20180119 140821 1-1 65430 33890 1417.833333
ch02 20180119 140821 1-2 128150 33890 1417.833333
ch02 20180119 140821 2-1 146539 33890 1412.083333
ch02 20180119 140821 2-2 182481 33890 1412.083333
ch02 20180119 143153 1-1 160645 33890 1412.083333
ch02 20180119 143153 1-2 169787 33890 1412.083333
ch02 20180119 143153 2-1 118519 33890 1412.083333
ch02 20180119 143153 2-2 172908 33890 1412.083333
ch02 20180119 145524 1-1 87976 33891 1417.833333
ch02 20180119 145524 1-2 79313 33891 1417.833333
ch02 20180119 145524 2-1 146552 33891 1417.833333
ch02 20180119 145524 2-2 148741 33891 1417.833333
ch02 20180119 151856 1-1 99468 33890 1412.083333
ch02 20180119 151856 1-2 102532 33890 1412.083333
ch02 20180119 151856 2-1 122220 33890 1412.083333
ch02 20180119 151856 2-2 190418 33890 1412.083333
ch02 20180119 154229 1-1 83321 33890 1412.083333
ch02 20180119 154229 1-2 118604 33890 1412.083333
ch02 20180119 154229 2-1 121190 33890 1412.083333
ch02 20180119 154229 2-2 162134 33890 1412.083333
ch02 20180119 160601 1-1 82492 33890 1412.083333
ch02 20180119 160601 1-2 100192 33890 1417.791667
ch02 20180119 160601 2-1 147012 33890 1412.083333
ch02 20180119 160601 2-2 167942 33890 1412.083333
ch02 20180119 162933 1-1 82253 33890 1412.083333
ch02 20180119 162933 1-2 60786 33891 1417.875000
ch02 20180119 162933 2-1 107706 33891 1417.875000
ch02 20180119 162933 2-2 127131 33891 1417.875000
ch02 20180119 165305 1-1 83142 33890 1412.083333
ch02 20180119 165305 1-2 92741 33890 1412.083333
ch02 20180119 165305 2-1 158980 33890 1412.083333
ch02 20180119 165305 2-2 195414 33890 1412.083333
ch02 20180119 171637 1-1 74124 33890 1412.083333
ch02 20180119 171637 1-2 93304 33890 1412.083333
ch02 20180119 171637 2-1 122231 33890 1412.083333
ch02 20180119 171637 2-2 197574 33890 1412.083333
ch02 20180119 174009 1-1 73658 33890 1412.083333
ch02 20180119 174009 1-2 88305 33890 1412.083333
ch02 20180119 174009 2-1 122361 33890 1412.083333
ch02 20180119 174009 2-2 171944 33890 1412.083333
ch02 20180119 180340 1-1 81869 33890 1412.083333
ch02 20180119 180340 1-2 96675 33890 1412.083333
ch02 20180119 180340 2-1 139622 33890 1412.083333
ch02 20180119 180340 2-2 150093 33890 1412.083333
ch02 20180119 182713 1-1 127600 33890 1417.833333
ch02 20180119 182713 1-2 153949 33890 1417.833333
ch02 20180119 182713 2-1 195539 33890 1412.083333
ch02 20180119 182713 2-2 260520 33890 1412.083333
ch02 20180119 185045 1-1 84763 33890 1417.833333
ch02 20180119 185045 1-2 116990 33890 1417.833333
ch02 20180119 185045 2-1 135632 33890 1417.833333
ch02 20180119 185045 2-2 195248 33890 1417.833333
ch02 20180119 191417 1-1 88146 33891 1417.833333
ch02 20180119 191417 1-2 89967 33891 1417.833333
ch02 20180119 191417 2-1 146174 33890 1412.083333
ch02 20180119 191417 2-2 203821 33890 1412.083333
ch02 20180119 193749 1-1 99058 33890 1417.833333
ch02 20180119 193749 1-2 114273 33890 1417.833333
ch02 20180119 193749 2-1 185899 33890 1417.833333
ch02 20180119 193749 2-2 139999 33890 1417.833333
ch02 20180119 200121 1-1 102085 33890 1412.083333
ch02 20180119 200121 1-2 133677 33890 1412.083333
ch02 20180119 200121 2-1 130908 33890 1417.833333
ch02 20180119 200121 2-2 177609 33890 1417.833333
ch02 20180119 202453 1-1 89146 33890 1412.083333
ch02 20180119 202453 1-2 127450 33890 1412.083333
ch02 20180119 202453 2-1 190522 33890 1412.083333
ch02 20180119 202453 2-2 209159 33890 1412.083333
ch02 20180119 204825 1-1 143672 33890 1412.083333
ch02 20180119 204825 1-2 141843 33890 1412.083333
ch02 20180119 204825 2-1 136928 33891 1417.833333
ch02 20180119 204825 2-2 179486 33891 1417.833333
ch02 20180119 211157 1-1 113024 33890 1412.083333
ch02 20180119 211157 1-2 138081 33890 1412.083333
ch02 20180119 211157 2-1 152885 33890 1412.083333
ch02 20180119 211157 2-2 200306 33890 1412.083333
ch02 20180119 213529 1-1 91551 33890 1412.083333
ch02 20180119 213529 1-2 154050 33890 1412.083333
ch02 20180119 213529 2-1 195209 33890 1412.083333
ch02 20180119 213529 2-2 210328 33890 1412.083333
ch02 20180119 215901 1-1 117539 33890 1412.083333
ch02 20180119 215901 1-2 133635 33890 1412.083333
ch02 20180119 215901 2-1 155522 33890 1412.083333
ch02 20180119 215901 2-2 238925 33890 1412.083333
ch02 20180119 222233 1-1 98264 33890 1412.083333
ch02 20180119 222233 1-2 132130 33890 1412.083333
ch02 20180119 222233 2-1 150375 33890 1412.083333
ch02 20180119 222233 2-2 207617 33890 1412.083333
ch02 20180119 224605 1-1 92807 33890 1412.083333
ch02 20180119 224605 1-2 128280 33890 1412.083333
ch02 20180119 224605 2-1 234001 33890 1412.083333
ch02 20180119 224605 2-2 229487 33890 1412.083333
ch02 20180119 230938 1-1 109548 33890 1412.083333
ch02 20180119 230938 1-2 164298 33890 1412.083333
ch02 20180119 230938 2-1 178171 33890 1412.083333
ch02 20180119 230938 2-2 224584 33890 1412.083333
ch02 20180119 233309 1-1 61004 33890 1412.083333
ch02 20180119 233309 1-2 125625 33890 1412.083333
ch02 20180119 233309 2-1 168827 33890 1412.083333
ch02 20180119 233309 2-2 207709 33890 1412.083333
ch02 20180119 235642 1-1 33728 4802 205.791667
ch02 20180119 235642 1-2 64348 4801 200.041667
ch02 20180119 235642 2-1 59497 4801 200.041667
ch02 20180119 235642 2-2 91570 4801 200.041667
ch02 20180120 000000 1-1 72364 29138 1214.083333
ch02 20180120 000000 1-2 96620 29138 1214.083333
ch02 20180120 000000 2-1 71043 29138 1214.083333
ch02 20180120 000000 2-2 109193 29138 1214.083333
ch02 20180120 002014 1-1 72527 33890 1412.083333
ch02 20180120 002014 1-2 92939 33890 1412.083333
ch02 20180120 002014 2-1 78840 33890 1412.083333
ch02 20180120 002014 2-2 100411 33890 1412.083333
ch02 20180120 004345 1-1 56478 33890 1412.083333
ch02 20180120 004345 1-2 92274 33890 1412.083333
ch02 20180120 004345 2-1 75744 33890 1412.083333
ch02 20180120 004345 2-2 126714 33890 1412.083333
ch02 20180120 010717 1-1 62675 33890 1412.083333
ch02 20180120 010717 1-2 84019 33890 1412.083333
ch02 20180120 010717 2-1 75211 33890 1412.083333
ch02 20180120 010717 2-2 95510 33890 1412.083333
ch02 20180120 015422 1-1 59915 33890 1412.083333
ch02 20180120 015422 1-2 86049 33890 1412.083333
ch02 20180120 015422 2-1 56935 33890 1412.083333
ch02 20180120 015422 2-2 115655 33890 1412.083333
ch02 20180120 021753 1-1 62431 33890 1412.083333
ch02 20180120 021753 1-2 92050 33890 1412.083333
ch02 20180120 021753 2-1 92412 33890 1412.083333
ch02 20180120 021753 2-2 121950 33890 1412.083333
ch02 20180120 024125 1-1 59997 33890 1412.083333
ch02 20180120 024125 1-2 85911 33890 1412.083333
ch02 20180120 024125 2-1 82341 33890 1412.083333
ch02 20180120 024125 2-2 107026 33890 1412.083333
ch02 20180120 030457 1-1 64873 33890 1412.083333
ch02 20180120 030457 1-2 86200 33890 1412.083333
ch02 20180120 030457 2-1 78891 33890 1412.083333
ch02 20180120 030457 2-2 114916 33890 1412.083333
ch02 20180120 032829 1-1 52522 33890 1412.083333
ch02 20180120 032829 1-2 90674 33890 1412.083333
ch02 20180120 032829 2-1 71794 33890 1412.083333
ch02 20180120 032829 2-2 131283 33890 1412.083333
ch02 20180120 035201 1-1 60715 33890 1412.083333
ch02 20180120 035201 1-2 93956 33890 1412.083333
ch02 20180120 035201 2-1 78709 33890 1412.083333
ch02 20180120 035201 2-2 106942 33890 1412.083333
ch02 20180120 041534 1-1 59186 33890 1412.083333
ch02 20180120 041534 1-2 90436 33890 1412.083333
ch02 20180120 041534 2-1 73432 33890 1412.083333
ch02 20180120 041534 2-2 107874 33890 1412.083333
ch02 20180120 043906 1-1 59414 33890 1412.083333
ch02 20180120 043906 1-2 93364 33890 1412.083333
ch02 20180120 043906 2-1 76019 33890 1412.083333
ch02 20180120 043906 2-2 109681 33890 1412.083333
ch02 20180120 050237 1-1 62304 33890 1412.083333
ch02 20180120 050237 1-2 91701 33890 1412.083333
ch02 20180120 050237 2-1 74315 33890 1412.083333
ch02 20180120 050237 2-2 111685 33890 1412.083333
ch02 20180120 052609 1-1 59260 33890 1412.083333
ch02 20180120 052609 1-2 94513 33890 1412.083333
ch02 20180120 052609 2-1 57717 33890 1412.083333
ch02 20180120 052609 2-2 96065 33890 1412.083333
ch02 20180120 054941 1-1 93486 33890 1412.083333
ch02 20180120 054941 1-2 115422 33890 1412.083333
ch02 20180120 054941 2-1 77901 33890 1412.083333
ch02 20180120 054941 2-2 143750 33890 1412.083333
ch02 20180120 061313 1-1 82400 33890 1412.083333
ch02 20180120 061313 1-2 114534 33890 1412.083333
ch02 20180120 061313 2-1 100563 33890 1412.083333
ch02 20180120 061313 2-2 141695 33890 1412.083333
ch02 20180120 063645 1-1 75256 33890 1412.083333
ch02 20180120 063645 1-2 103615 33890 1412.083333
ch02 20180120 063645 2-1 98382 33890 1412.083333
ch02 20180120 063645 2-2 133518 33890 1412.083333
ch02 20180120 070017 1-1 73874 33890 1412.083333
ch02 20180120 070017 1-2 95729 33890 1412.083333
ch02 20180120 070017 2-1 98856 33890 1412.083333
ch02 20180120 070017 2-2 145643 33890 1412.083333
ch02 20180120 072350 1-1 84814 33890 1412.083333
ch02 20180120 072350 1-2 121641 33890 1412.083333
ch02 20180120 072350 2-1 99972 33890 1412.083333
ch02 20180120 072350 2-2 148594 33890 1412.083333
ch02 20180120 074721 1-1 30282 33890 1412.083333
